marca,supermercado,categoria,precio,prediction
CAROZZI,ACUENTA,Pastas,830.0,2
GENERICA,ACUENTA,Pastas,950.0,2
GENERICA,ACUENTA,Harinas,1050.0,1
ACUENTA,ACUENTA,Despensa General,760.0,0
LIDER,ACUENTA,Pastas,750.0,2
NETO,ACUENTA,Despensa General,2450.0,0
LIDER,ACUENTA,Despensa General,2490.0,0
LIDER,ACUENTA,Harinas,1550.0,1
GENERICA,ACUENTA,Despensa General,1790.0,0
CAROZZI,ACUENTA,Pastas,830.0,2
ACUENTA,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Despensa General,1750.0,0
SELECTA,ACUENTA,Harinas,1650.0,1
LIDER,ACUENTA,Despensa General,550.0,0
GENERICA,ACUENTA,Despensa General,1290.0,0
NETO,ACUENTA,Despensa General,2150.0,0
GOURMET,ACUENTA,Despensa General,2000.0,0
ACUENTA,ACUENTA,Despensa General,830.0,0
NETO,ACUENTA,Despensa General,2350.0,0
LIDER,ACUENTA,Despensa General,2290.0,0
GENERICA,ACUENTA,Salsas,3890.0,1
GENERICA,ACUENTA,Despensa General,490.0,0
GENERICA,ACUENTA,Despensa General,1490.0,0
LIDER,ACUENTA,Despensa General,1990.0,0
GENERICA,ACUENTA,Despensa General,1350.0,0
LIDER,ACUENTA,Salsas,3390.0,1
LIDER,ACUENTA,Legumbres,950.0,1
LIDER,ACUENTA,Pastas,750.0,2
GENERICA,ACUENTA,Despensa General,490.0,0
LIDER,ACUENTA,Despensa General,950.0,0
GENERICA,ACUENTA,Despensa General,3990.0,0
VIVO,ACUENTA,Despensa General,660.0,0
GENERICA,ACUENTA,Pastas,780.0,2
GENERICA,ACUENTA,Despensa General,1250.0,0
NETO,ACUENTA,Despensa General,3390.0,0
LIDER,ACUENTA,Pastas,750.0,2
GENERICA,ACUENTA,Despensa General,1250.0,0
NETO,ACUENTA,Despensa General,2790.0,0
GENERICA,ACUENTA,Despensa General,760.0,0
GENERICA,ACUENTA,Pastas,580.0,2
VIVO,ACUENTA,Despensa General,840.0,0
NETO,ACUENTA,Despensa General,990.0,0
CAROZZI,ACUENTA,Pastas,830.0,2
LIDER,ACUENTA,Salsas,2290.0,1
GENERICA,ACUENTA,Pastas,520.0,2
GENERICA,ACUENTA,Harinas,1350.0,1
VIVO,ACUENTA,Despensa General,840.0,0
ACUENTA,ACUENTA,Despensa General,850.0,0
GENERICA,ACUENTA,Despensa General,9590.0,0
LIDER,ACUENTA,Pastas,750.0,2
LIDER,ACUENTA,Salsas,1250.0,1
GENERICA,ACUENTA,Harinas,1090.0,1
NETO,ACUENTA,Despensa General,2990.0,0
GENERICA,ACUENTA,Pastas,780.0,2
NETO,ACUENTA,Despensa General,900.0,0
LIDER,ACUENTA,Harinas,2290.0,1
LUCCHETTI,ACUENTA,Despensa General,970.0,0
NETO,ACUENTA,Despensa General,2990.0,0
GENERICA,ACUENTA,Despensa General,450.0,0
ACUENTA,ACUENTA,Despensa General,1650.0,0
NETO,ACUENTA,Despensa General,2690.0,0
GENERICA,ACUENTA,Despensa General,2990.0,0
GENERICA,ACUENTA,Despensa General,3890.0,0
GENERICA,ACUENTA,Despensa General,3490.0,0
GENERICA,ACUENTA,Pastas,1190.0,2
NETO,ACUENTA,Despensa General,9590.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,440.0,0
GENERICA,ACUENTA,Despensa General,490.0,0
NETO,ACUENTA,Legumbres,610.0,1
NETO,ACUENTA,Aceites,1000.0,1
NETO,ACUENTA,Despensa General,2690.0,0
NETO,ACUENTA,Despensa General,1250.0,0
ACUENTA,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
NETO,ACUENTA,Despensa General,2350.0,0
NETO,ACUENTA,Despensa General,1550.0,0
NETO,ACUENTA,Despensa General,630.0,0
NETO,ACUENTA,Legumbres,630.0,1
NETO,ACUENTA,Despensa General,1990.0,0
GENERICA,ACUENTA,Despensa General,1950.0,0
NETO,ACUENTA,Despensa General,1650.0,0
GENERICA,ACUENTA,Despensa General,1590.0,0
NETO,ACUENTA,Despensa General,2750.0,0
NETO,ACUENTA,Despensa General,1590.0,0
NETO,ACUENTA,Despensa General,2290.0,0
GENERICA,ACUENTA,Harinas,1150.0,1
NETO,ACUENTA,Despensa General,2390.0,0
SELECTA,ACUENTA,Harinas,1990.0,1
GENERICA,ACUENTA,Harinas,1850.0,1
GENERICA,ACUENTA,Harinas,1190.0,1
GENERICA,ACUENTA,Despensa General,1650.0,0
GENERICA,ACUENTA,Despensa General,1750.0,0
GENERICA,ACUENTA,Salsas,4890.0,1
NETO,ACUENTA,Despensa General,3990.0,0
GENERICA,ACUENTA,Despensa General,1390.0,0
LIDER,ACUENTA,Despensa General,550.0,0
GOURMET,ACUENTA,Despensa General,1250.0,0
GOURMET,ACUENTA,Despensa General,2590.0,0
GOURMET,ACUENTA,Despensa General,530.0,0
GENERICA,ACUENTA,Despensa General,1450.0,0
GOURMET,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Despensa General,4190.0,0
GOURMET,ACUENTA,Despensa General,1250.0,0
GOURMET,ACUENTA,Despensa General,1390.0,0
GOURMET,ACUENTA,Despensa General,1650.0,0
BANQUETE,ACUENTA,Despensa General,1950.0,0
IANSA,ACUENTA,Despensa General,2950.0,0
LIDER,ACUENTA,Despensa General,3690.0,0
GENERICA,ACUENTA,Despensa General,3190.0,0
IANSA,ACUENTA,Despensa General,3890.0,0
IANSA,ACUENTA,Legumbres,3990.0,1
GENERICA,ACUENTA,Legumbres,1750.0,1
GENERICA,ACUENTA,Despensa General,1090.0,0
GENERICA,ACUENTA,Despensa General,1090.0,0
LUCCHETTI,ACUENTA,Pastas,2190.0,2
GENERICA,ACUENTA,Pastas,2750.0,2
GENERICA,ACUENTA,Pastas,950.0,2
GENERICA,ACUENTA,Pastas,950.0,2
GENERICA,ACUENTA,Pastas,780.0,2
GENERICA,ACUENTA,Pastas,780.0,2
GENERICA,ACUENTA,Pastas,780.0,2
GENERICA,ACUENTA,Pastas,1390.0,2
GENERICA,ACUENTA,Pastas,990.0,2
GENERICA,ACUENTA,Pastas,990.0,2
GENERICA,ACUENTA,Pastas,890.0,2
GENERICA,ACUENTA,Pastas,990.0,2
GENERICA,ACUENTA,Despensa General,2250.0,0
GENERICA,ACUENTA,Pastas,890.0,2
CAROZZI,ACUENTA,Despensa General,1790.0,0
GENERICA,ACUENTA,Despensa General,850.0,0
ACE,ACUENTA,Aceites,1690.0,1
LIDER,ACUENTA,Despensa General,440.0,0
LIDER,ACUENTA,Despensa General,1390.0,0
LIDER,ACUENTA,Despensa General,370.0,0
LOBOS,ACUENTA,Despensa General,1350.0,0
MAGGI,ACUENTA,Despensa General,2690.0,0
ACE,ACUENTA,Aceites,14490.0,1
LIDER,ACUENTA,Despensa General,2450.0,0
LIDER,ACUENTA,Despensa General,460.0,0
GENERICA,ACUENTA,Pastas,1290.0,2
GENERICA,ACUENTA,Pastas,1290.0,2
GOURMET,ACUENTA,Despensa General,5290.0,0
GENERICA,ACUENTA,Despensa General,6290.0,0
GENERICA,ACUENTA,Despensa General,4590.0,0
GENERICA,ACUENTA,Despensa General,6290.0,0
GOURMET,ACUENTA,Despensa General,1850.0,0
LIDER,ACUENTA,Despensa General,740.0,0
LIDER,ACUENTA,Despensa General,770.0,0
GOURMET,ACUENTA,Despensa General,2190.0,0
GENERICA,ACUENTA,Despensa General,2850.0,0
GENERICA,ACUENTA,Despensa General,2950.0,0
LIDER,ACUENTA,Azúcares,640.0,1
LIDER,ACUENTA,Azúcares,640.0,1
LIDER,ACUENTA,Azúcares,640.0,1
GOURMET,ACUENTA,Despensa General,1250.0,0
LIDER,ACUENTA,Azúcares,640.0,1
LIDER,ACUENTA,Azúcares,640.0,1
OMO,ACUENTA,Despensa General,3390.0,0
GENERICA,ACUENTA,Legumbres,2290.0,1
GENERICA,ACUENTA,Despensa General,2290.0,0
LUCCHETTI,ACUENTA,Despensa General,990.0,0
GENERICA,ACUENTA,Azúcares,1850.0,1
GENERICA,ACUENTA,Despensa General,770.0,0
GENERICA,ACUENTA,Pastas,890.0,2
GENERICA,ACUENTA,Despensa General,3290.0,0
GENERICA,ACUENTA,Pastas,950.0,2
GENERICA,ACUENTA,Despensa General,3550.0,0
IANSA,ACUENTA,Despensa General,2650.0,0
GENERICA,ACUENTA,Despensa General,990.0,0
IANSA,ACUENTA,Despensa General,3390.0,0
IANSA,ACUENTA,Despensa General,2850.0,0
IANSA,ACUENTA,Legumbres,2990.0,1
LIDER,ACUENTA,Despensa General,320.0,0
LIDER,ACUENTA,Despensa General,430.0,0
GENERICA,ACUENTA,Despensa General,1050.0,0
GENERICA,ACUENTA,Pastas,890.0,2
LIDER,ACUENTA,Despensa General,2750.0,0
LIDER,ACUENTA,Despensa General,960.0,0
GENERICA,ACUENTA,Despensa General,1190.0,0
GENERICA,ACUENTA,Despensa General,1190.0,0
GENERICA,ACUENTA,Arroz,2650.0,1
KRAFT,ACUENTA,Salsas,3590.0,1
GENERICA,ACUENTA,Pastas,890.0,2
LIDER,ACUENTA,Azúcares,2150.0,1
GENERICA,ACUENTA,Despensa General,810.0,0
GENERICA,ACUENTA,Despensa General,810.0,0
GENERICA,ACUENTA,Despensa General,790.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,660.0,0
LIDER,ACUENTA,Despensa General,950.0,0
GENERICA,ACUENTA,Despensa General,660.0,0
GENERICA,ACUENTA,Arroz,660.0,1
GENERICA,ACUENTA,Despensa General,1450.0,0
GENERICA,ACUENTA,Despensa General,660.0,0
GENERICA,ACUENTA,Pastas,490.0,2
GENERICA,ACUENTA,Pastas,450.0,2
GENERICA,ACUENTA,Pastas,1090.0,2
GENERICA,ACUENTA,Despensa General,690.0,0
LIDER,ACUENTA,Despensa General,680.0,0
LIDER,ACUENTA,Despensa General,690.0,0
GENERICA,ACUENTA,Despensa General,770.0,0
GENERICA,ACUENTA,Despensa General,2890.0,0
IANSA,ACUENTA,Despensa General,2550.0,0
CAROZZI,ACUENTA,Despensa General,1650.0,0
LIDER,ACUENTA,Despensa General,990.0,0
VIVO,ACUENTA,Despensa General,1050.0,0
LIDER,ACUENTA,Despensa General,530.0,0
GENERICA,ACUENTA,Despensa General,1450.0,0
TRAVERSO,ACUENTA,Despensa General,2050.0,0
CAROZZI,ACUENTA,Despensa General,1890.0,0
GENERICA,ACUENTA,Despensa General,5490.0,0
GENERICA,ACUENTA,Despensa General,2090.0,0
GENERICA,ACUENTA,Despensa General,250.0,0
GENERICA,ACUENTA,Despensa General,2550.0,0
GENERICA,ACUENTA,Despensa General,6290.0,0
GENERICA,ACUENTA,Despensa General,2990.0,0
GOURMET,ACUENTA,Despensa General,2750.0,0
GENERICA,ACUENTA,Despensa General,3990.0,0
GENERICA,ACUENTA,Despensa General,1050.0,0
GENERICA,ACUENTA,Despensa General,2250.0,0
GENERICA,ACUENTA,Despensa General,900.0,0
GOURMET,ACUENTA,Despensa General,910.0,0
GOURMET,ACUENTA,Despensa General,1390.0,0
GENERICA,ACUENTA,Despensa General,2990.0,0
GOURMET,ACUENTA,Despensa General,1990.0,0
GOURMET,ACUENTA,Despensa General,3890.0,0
ACUENTA,ACUENTA,Despensa General,1890.0,0
BANQUETE,ACUENTA,Despensa General,2350.0,0
LIDER,ACUENTA,Despensa General,2000.0,0
BANQUETE,ACUENTA,Despensa General,3450.0,0
LIDER,ACUENTA,Despensa General,2990.0,0
ACUENTA,ACUENTA,Despensa General,1990.0,0
GENERICA,ACUENTA,Despensa General,3690.0,0
LIDER,ACUENTA,Despensa General,3450.0,0
BANQUETE,ACUENTA,Despensa General,2990.0,0
LIDER,ACUENTA,Despensa General,2290.0,0
LIDER,ACUENTA,Despensa General,3490.0,0
BANQUETE,ACUENTA,Despensa General,3000.0,0
LIDER,ACUENTA,Legumbres,3190.0,1
BANQUETE,ACUENTA,Legumbres,3390.0,1
LIDER,ACUENTA,Legumbres,2990.0,1
BANQUETE,ACUENTA,Legumbres,2850.0,1
GENERICA,ACUENTA,Despensa General,1190.0,0
LIDER,ACUENTA,Despensa General,960.0,0
VIVO,ACUENTA,Despensa General,990.0,0
VIVO,ACUENTA,Despensa General,990.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
GENERICA,ACUENTA,Despensa General,930.0,0
LIDER,ACUENTA,Despensa General,960.0,0
GENERICA,ACUENTA,Pastas,1190.0,2
GENERICA,ACUENTA,Pastas,1190.0,2
GENERICA,ACUENTA,Pastas,950.0,2
GENERICA,ACUENTA,Pastas,2450.0,2
GENERICA,ACUENTA,Pastas,950.0,2
GENERICA,ACUENTA,Pastas,1190.0,2
ACUENTA,ACUENTA,Pastas,460.0,2
ACUENTA,ACUENTA,Pastas,460.0,2
LIDER,ACUENTA,Pastas,890.0,2
LIDER,ACUENTA,Pastas,890.0,2
GENERICA,ACUENTA,Pastas,890.0,2
GENERICA,ACUENTA,Arroz,1990.0,1
GENERICA,ACUENTA,Arroz,2250.0,1
GENERICA,ACUENTA,Arroz,1850.0,1
TUCAPEL,ACUENTA,Arroz,750.0,1
TUCAPEL,ACUENTA,Arroz,750.0,1
GENERICA,ACUENTA,Despensa General,750.0,0
MAGGI,ACUENTA,Despensa General,1250.0,0
MAGGI,ACUENTA,Despensa General,1250.0,0
NETO,ACUENTA,Despensa General,1850.0,0
NETO,ACUENTA,Despensa General,1290.0,0
ACE,ACUENTA,Aceites,700.0,1
NETO,ACUENTA,Despensa General,1550.0,0
NETO,ACUENTA,Despensa General,3390.0,0
NETO,ACUENTA,Aceites,3390.0,1
NETO,ACUENTA,Aceites,1550.0,1
LIDER,ACUENTA,Despensa General,1450.0,0
LIDER,ACUENTA,Despensa General,550.0,0
LIDER,ACUENTA,Despensa General,390.0,0
LIDER,ACUENTA,Despensa General,490.0,0
LIDER,ACUENTA,Despensa General,570.0,0
LIDER,ACUENTA,Despensa General,490.0,0
LIDER,ACUENTA,Despensa General,370.0,0
LIDER,ACUENTA,Despensa General,990.0,0
LIDER,ACUENTA,Despensa General,310.0,0
LIDER,ACUENTA,Despensa General,640.0,0
LIDER,ACUENTA,Despensa General,240.0,0
LIDER,ACUENTA,Despensa General,410.0,0
LIDER,ACUENTA,Despensa General,260.0,0
LIDER,ACUENTA,Despensa General,150.0,0
LIDER,ACUENTA,Despensa General,920.0,0
LIDER,ACUENTA,Despensa General,200.0,0
LIDER,ACUENTA,Despensa General,520.0,0
LIDER,ACUENTA,Despensa General,540.0,0
LIDER,ACUENTA,Despensa General,450.0,0
LIDER,ACUENTA,Despensa General,1850.0,0
LIDER,ACUENTA,Despensa General,1390.0,0
LOBOS,ACUENTA,Despensa General,910.0,0
LOBOS,ACUENTA,Despensa General,530.0,0
LIDER,ACUENTA,Despensa General,450.0,0
LIDER,ACUENTA,Despensa General,1650.0,0
LOBOS,ACUENTA,Despensa General,570.0,0
