marca,supermercado,categoria,precio,supermercado_index,categoria_index,features,scaledFeatures,prediction,categoria_limpia
OTRA,CUGAT,DESPENSA,2590.0,3.0,0.0,"[2590.0,3.0,0.0]","[0.3761484041478177,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,2890.0,3.0,0.0,"[2890.0,3.0,0.0]","[0.41971771736957264,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
BANQUETE,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",4690.0,3.0,21.0,"[4690.0,3.0,21.0]","[0.6811335967001023,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
BANQUETE,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",4690.0,3.0,21.0,"[4690.0,3.0,21.0]","[0.6811335967001023,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
BANQUETE,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",3990.0,3.0,21.0,"[3990.0,3.0,21.0]","[0.5794718658493407,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,2290.0,3.0,0.0,"[2290.0,3.0,0.0]","[0.33257909092606275,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,DESPENSA,2390.0,3.0,0.0,"[2390.0,3.0,0.0]","[0.3471021953333144,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
TALLIANI,CUGAT,DESPENSA,2590.0,3.0,0.0,"[2590.0,3.0,0.0]","[0.3761484041478177,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
LUCCHETTI,CUGAT,DESPENSA,1690.0,3.0,0.0,"[1690.0,3.0,0.0]","[0.24544046448255286,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
LUCCHETTI,CUGAT,DESPENSA,998.0,3.0,0.0,"[998.0,3.0,0.0]","[0.14494058198437143,2.2394227749293085,0.0]",2,DESPENSA Y ABARROTES
TRAVERSO,CUGAT,ADEREZOS Y CONDIMENTOS,2690.0,3.0,13.0,"[2690.0,3.0,13.0]","[0.3906715085550693,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
OTRA,CUGAT,ADEREZOS Y CONDIMENTOS,2990.0,3.0,13.0,"[2990.0,3.0,13.0]","[0.43424082177682427,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
DON JUAN,CUGAT,ADEREZOS Y CONDIMENTOS,2190.0,3.0,13.0,"[2190.0,3.0,13.0]","[0.31805598651881106,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
DON JUAN,CUGAT,ADEREZOS Y CONDIMENTOS,3290.0,3.0,13.0,"[3290.0,3.0,13.0]","[0.4778101349985792,2.2394227749293085,2.0705843604658045]",2,DESPENSA Y ABARROTES
