nombre_producto,marca,supermercado,categoria,precio,precio_promedio_cat,dif_porcentual_promedio,prediction
"Garbanzos Banquete sin Piel, 1 kg.",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",4890.0,2736.6666666666665,78.68,0
"Lentejas Natura 4mm Banquete, 1kg",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",3990.0,2736.6666666666665,45.8,0
"Lentejas Natura 5mm Banquete, 1kg",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",4690.0,2736.6666666666665,71.38,0
"Lentejas Natura 6mm Banquete, 1kg",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",4690.0,2736.6666666666665,71.38,0
"Poroto Blanco Bonanza, 1kg",BONANZA,Cugat,"Arroz, Legumbres y Semillas",3690.0,2736.6666666666665,34.84,2
"Poroto Hallado Banquete, 1kg",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",4690.0,2736.6666666666665,71.38,0
"Poroto Blanco Banquete Español, 1kg",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",4990.0,2736.6666666666665,82.34,0
"Quinoa Banquete Doypack, 400g",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",3490.0,2736.6666666666665,27.53,0
"Quinoa Carozzi Doypack, 250g",CAROZZI,Cugat,"Arroz, Legumbres y Semillas",2190.0,2736.6666666666665,-19.98,0
"Arroz Los Chinos Grano Largo G2, 1Kg",OTRA,Cugat,"Arroz, Legumbres y Semillas",1190.0,2736.6666666666665,-56.52,0
"Quinoa Banquete Mediterranea Doypack, 400g",BANQUETE,Cugat,"Arroz, Legumbres y Semillas",3990.0,2736.6666666666665,45.8,0
"Arroz Santo Tomas Redondo Valencia Grado1, 1kg",SANTO TOMAS,Cugat,"Arroz, Legumbres y Semillas",2390.0,2736.6666666666665,-12.67,2
"Poroto Blanco Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",2490.0,2736.6666666666665,-9.01,0
"Lentejas 6mm Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",1990.0,2736.6666666666665,-27.28,0
"Arroz Miraflores G1 Grano Largo Lam, 1Kg",MIRAFLORES,Cugat,"Arroz, Legumbres y Semillas",2290.0,2736.6666666666665,-16.32,0
"Arroz Bonanza American Thai G2, 1Kg",BONANZA,Cugat,"Arroz, Legumbres y Semillas",890.0,2736.6666666666665,-67.48,2
"Arroz Los Granos G2, 1Kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",890.0,2736.6666666666665,-67.48,0
"Poroto Hallado Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",2490.0,2736.6666666666665,-9.01,0
"Poroto Negro Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",1990.0,2736.6666666666665,-27.28,0
"Arvejas Verdes Partidas Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",1690.0,2736.6666666666665,-38.25,0
"Garbanzos Los Granos sin Piel, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",2090.0,2736.6666666666665,-23.63,0
"Poroto Tórtola Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",3790.0,2736.6666666666665,38.49,0
"Poroto Pelado Los Granos, 1kg",LOS GRANOS,Cugat,"Arroz, Legumbres y Semillas",2590.0,2736.6666666666665,-5.36,0
"Arroz Tucapel Blue Bonnet G2, 900gr.",TUCAPEL,Cugat,"Arroz, Legumbres y Semillas",1190.0,2736.6666666666665,-56.52,0
"Aceto Balsámico Di Modena Talliani, 500ml",TALLIANI,Cugat,Aderezos y Condimentos,5590.0,2150.4528301886794,159.95,0
"Ají Chileno Crema JB, 240gr.",JB,Cugat,Aderezos y Condimentos,1590.0,2150.4528301886794,-26.06,0
"Ají Merken Crema Don Juan, 240gr.",DON JUAN,Cugat,Aderezos y Condimentos,1490.0,2150.4528301886794,-30.71,0
"Ají Pebre Crema Don Juan, 240gr.",DON JUAN,Cugat,Aderezos y Condimentos,1490.0,2150.4528301886794,-30.71,0
"Ají Pebre Crema JB, 240gr.",JB,Cugat,Aderezos y Condimentos,1590.0,2150.4528301886794,-26.06,0
"Ajo en Polvo Gourmet, 15g",GOURMET,Cugat,Aderezos y Condimentos,379.0,2150.4528301886794,-82.38,0
"Biosal Light con 50% Menos de Sodio Pote, 850g.",BIOSAL,Cugat,Aderezos y Condimentos,4890.0,2150.4528301886794,127.39,2
"Canela Entera Gourmet, 15g",GOURMET,Cugat,Aderezos y Condimentos,1290.0,2150.4528301886794,-40.01,0
"Comino Molido Gourmet, 100g",GOURMET,Cugat,Aderezos y Condimentos,2490.0,2150.4528301886794,15.79,0
